Amount $,Ministry,Category,Payment Detail,Recipient,Statutory,Additional Detail
6141,Cabinet Office,Employee Benefits,No Value,"Accounts Under $50,000/Comptes Inférieurs À 50 000$",No Value,No Value
55860,Cabinet Office,Other Payments,No Value,Canadian Press Enterprises Inc,No Value,No Value
65678,Cabinet Office,Other Payments,No Value,6175015 Canada Inc (O/A Adss),No Value,No Value
72459,Cabinet Office,Other Payments,No Value,Royal Canadian Legion (Ontario Command),No Value,No Value
74698,Cabinet Office,Other Payments,No Value,"Mclaughlin & Associates, Inc.",No Value,No Value
75258,Cabinet Office,Other Payments,No Value,Dejero Labs Inc,No Value,No Value
87293,Cabinet Office,Other Payments,No Value,Creative Currency Inc,No Value,No Value
90519,Cabinet Office,Other Payments,No Value,Earnscliffe Strategy Group Gp,No Value,No Value
92660,Cabinet Office,Other Payments,No Value,Marketing Leger Inc,No Value,No Value
95195,Cabinet Office,Other Payments,No Value,Mirems Ltd,No Value,No Value
102705,Cabinet Office,Other Payments,No Value,Google Canada Corporation,No Value,No Value
132189,Cabinet Office,Other Payments,No Value,Densan Consultants Ltd,No Value,No Value
144783,Cabinet Office,Other Payments,No Value,Legislative Assembly Of Ontario,No Value,No Value
152109,Cabinet Office,Other Payments,No Value,Optimus Sbr Inc (O/A Seg Management Consultants),No Value,No Value
183996,Cabinet Office,Other Payments,No Value,Amazon,No Value,No Value
196117,Cabinet Office,Other Payments,No Value,Rogers Communications Inc,No Value,No Value
265000,Cabinet Office,Other Payments,No Value,Receiver General Of Canada,No Value,No Value
287088,Cabinet Office,Other Payments,No Value,Ipsos Lp,No Value,No Value
327000,Cabinet Office,Other Payments,No Value,"Capitol Counsel, Llc",No Value,No Value
576211,Cabinet Office,Other Payments,No Value,1316023 Ontario Inc (O/A Pandor Productions),No Value,No Value
805256,Cabinet Office,Other Payments,No Value,Council Of The Federation Secretariat,No Value,No Value
876674,Cabinet Office,Other Payments,No Value,Cision Canada Inc,No Value,No Value
